timestamp,phase,capacity,total_requests,total_volume,Teaching_requests,Teaching_volume,Teaching_weight,Non-teaching_requests,Non-teaching_volume,Non-teaching_weight,Managerial_requests,Managerial_volume,Managerial_weight,Non-managerial_requests,Non-managerial_volume,Non-managerial_weight,utilization
0,Lecture,80,98,10031.689592970715,47,2557.616776589709,0.28,36,7163.7144807612995,0.12,1,20.48212136979511,0.35,14,289.87621424991033,0.25,1.0
5,Lecture,80,76,5349.916285374414,20,972.4822759352211,0.28,46,3225.225725953609,0.12,3,46.79707272151021,0.35,7,1105.4112107640728,0.25,1.0
10,Lecture,80,57,5674.969359575769,27,2342.9297971583915,0.28,14,1582.7059134639067,0.12,0,3.523513114873077,0.35,16,1745.8101358385984,0.25,1.0
15,Lecture,80,38,3102.4981917078276,10,866.2817731510385,0.28,0,84.13020312695073,0.12,8,144.33841498218712,0.35,20,2007.7478004476516,0.25,1.0
20,Lecture,80,34,3067.7681049710604,26,2553.711311070557,0.28,2,205.16614748464576,0.12,4,24.725411454714607,0.35,2,284.16523496114297,0.25,1.0
25,Lecture,80,37,4302.169555902645,21,2040.2500254684367,0.28,12,1382.7117837348326,0.12,0,7.638917299808677,0.35,4,871.5688293995669,0.25,1.0
30,Lecture,80,56,5049.247876324495,17,2095.1677585345483,0.28,12,1408.9327227993456,0.12,18,187.90886019578005,0.35,9,1357.238534794821,0.25,1.0
35,Lecture,80,66,9144.895358223359,33,1192.9864485969304,0.28,7,2364.020836597398,0.12,4,59.33238110066114,0.35,22,5528.555691928368,0.25,1.0
40,Lecture,80,14,4056.6856718984764,0,80.3548846531967,0.28,14,3902.443068581684,0.12,0,17.07277956539775,0.35,0,56.81493909819737,0.25,1.0
45,Lecture,80,70,5613.428468013044,38,2920.9310624613395,0.28,7,835.8589466463578,0.12,4,58.72560079900346,0.35,21,1797.9128581063435,0.25,1.0
50,Lecture,80,44,8751.743295673383,5,253.69297264326838,0.28,2,414.4052426316806,0.12,17,145.16245561906138,0.35,20,7938.482624779372,0.25,1.0
55,Lecture,80,122,36098.28894471866,36,3041.9662532267557,0.28,7,1506.9072244949268,0.12,12,169.36310822550615,0.35,67,31380.052358771474,0.25,1.0
60,Lecture,80,88,10670.827272156883,16,1644.9857376665223,0.28,41,3189.6809978965866,0.12,5,59.29478609795404,0.35,26,5776.86575049582,0.25,1.0
65,Lecture,80,48,4965.367886253641,25,2721.1245431162442,0.28,1,140.44098496551936,0.12,3,52.644258183874264,0.35,19,2051.158099988003,0.25,1.0
70,Lecture,80,69,14845.20355063917,31,3581.856201029084,0.28,29,10725.099717697767,0.12,4,80.80036566289382,0.35,5,457.44726624942433,0.25,1.0
75,Lecture,80,32,4881.593585588373,14,1664.7726514790882,0.28,7,2374.896207461992,0.12,5,83.10683821791729,0.35,6,758.8178884293748,0.25,1.0
80,Lecture,80,62,9590.626409685212,8,696.7671466938222,0.28,24,4723.067943170607,0.12,5,74.6191714326913,0.35,25,4096.172148388092,0.25,1.0
85,Lecture,80,56,5883.707410120084,41,3287.2376180628207,0.28,6,1680.111393901542,0.12,5,90.90908537335241,0.35,4,825.4493127823687,0.25,1.0
90,Lecture,80,112,17349.962474458378,10,1226.3575091791686,0.28,17,2296.7951346230834,0.12,19,326.99203230273923,0.35,66,13499.817798353386,0.25,1.0
95,Lecture,80,64,23045.125829771518,9,242.93348021271848,0.28,2,231.34781208226087,0.12,18,258.79820925038115,0.35,35,22312.046328226155,0.25,1.0
100,Lecture,80,18,1971.054845069949,10,872.5267023762241,0.28,1,140.62662367421504,0.12,3,57.25646330707809,0.35,4,900.6450557124317,0.25,0.657018281689983
105,Lecture,80,69,7883.276259482874,30,1588.949065526859,0.28,6,2654.918283217584,0.12,8,75.78513894929733,0.35,25,3563.6237717891336,0.25,1.0
110,Lecture,80,56,15070.136928788583,5,694.1410946207476,0.28,2,117.83190679599262,0.12,13,125.89008387848168,0.35,36,14132.273843493362,0.25,1.0
115,Lecture,80,67,10845.456938460335,1,93.7535354393511,0.28,45,9139.640071963191,0.12,11,117.63797253926697,0.35,10,1494.4253585185247,0.25,1.0
120,Lecture,80,45,6469.784353722735,10,645.779953379711,0.28,15,4404.664853318247,0.12,5,45.58130683259961,0.35,15,1373.7582401921782,0.25,1.0
125,Lecture,80,56,10279.784368593106,8,523.2872020751707,0.28,23,3001.1538978664053,0.12,6,129.29078578139698,0.35,19,6626.052482870133,0.25,1.0
130,Lecture,80,39,7551.265668219733,22,2575.3153436784423,0.28,4,878.3341281675324,0.12,5,75.52721990821418,0.35,8,4022.088976465544,0.25,1.0
135,Lecture,80,47,9686.406254566686,0,37.69855655643999,0.28,22,2560.4495745161885,0.12,7,114.36006077320698,0.35,18,6973.898062720849,0.25,1.0
