timestamp,phase,capacity,total_requests,total_volume,Teaching_requests,Teaching_volume,Teaching_weight,Non-teaching_requests,Non-teaching_volume,Non-teaching_weight,Managerial_requests,Managerial_volume,Managerial_weight,Non-managerial_requests,Non-managerial_volume,Non-managerial_weight,utilization
0,Lecture,80,42,4075.518045598318,18,1509.523539498631,0.28,1,305.90983039267536,0.12,15,185.05130805338317,0.35,8,2075.033367653629,0.25,1.0
5,Lecture,80,125,11949.939009347645,86,8201.218306646091,0.28,19,2938.5096791175383,0.12,16,90.8679599592824,0.35,4,719.3430636247333,0.25,1.0
10,Lecture,80,43,4145.412796972503,14,1382.8916213278517,0.28,12,1157.5885020424232,0.12,0,0.3937397900494543,0.35,17,1604.5389338121786,0.25,1.0
15,Lecture,80,79,13829.700798234753,30,2915.9931524982767,0.28,31,5672.6384746662325,0.12,8,107.6916625441146,0.35,10,5133.37750852613,0.25,1.0
20,Lecture,80,62,11032.747278817727,5,587.8425317416475,0.28,40,6897.892341314845,0.12,2,18.94055308507624,0.35,15,3528.071852676159,0.25,1.0
25,Lecture,80,18,1999.4594285381943,10,923.9327484768468,0.28,4,877.8332950879661,0.12,1,17.565740393231792,0.35,3,180.12764458014945,0.25,0.6664864761793982
30,Lecture,80,67,7697.910943950891,35,1919.4045265255156,0.28,21,5207.895302751614,0.12,7,62.34635297063359,0.35,4,508.2647617031291,0.25,1.0
35,Lecture,80,18,3486.1019522318747,7,213.58918419793707,0.28,8,2820.0012158862137,0.12,2,16.631923428981096,0.35,1,435.8796287187427,0.25,1.0
40,Lecture,80,44,6657.350597130051,31,3359.8712075276208,0.28,10,2528.649036860931,0.12,0,12.936600743272415,0.35,3,755.8937519982264,0.25,1.0
45,Lecture,80,59,5700.715284104101,36,2476.71288729127,0.28,5,1698.3769006726911,0.12,7,36.92196138821641,0.35,11,1488.7035347519234,0.25,1.0
50,Lecture,80,16,2050.899264092417,7,718.2572736315321,0.28,1,111.92231883581302,0.12,3,30.53370581938799,0.35,5,1190.1859658056842,0.25,0.6836330880308057
55,Lecture,80,24,2422.5485560525412,17,1715.6940766795256,0.28,0,150.23415341469786,0.12,1,20.80129400078995,0.35,6,535.8190319575277,0.25,0.807516185350847
60,Lecture,80,54,5794.93378455566,36,2660.9279172275083,0.28,5,1423.2806256255658,0.12,1,27.452003855666703,0.35,12,1683.2732378469186,0.25,1.0
65,Lecture,80,56,4763.0225726973085,42,3453.753359359969,0.28,5,877.9192502676153,0.12,7,115.11136608021107,0.35,2,316.2385969895128,0.25,1.0
70,Lecture,80,50,10489.743206239566,1,168.01470227909869,0.28,10,2927.32507927243,0.12,11,205.26915247605257,0.35,28,7189.134272211984,0.25,1.0
75,Lecture,80,29,3044.493095361116,10,1049.2649102141515,0.28,3,494.65866786184785,0.12,10,126.64275689113828,0.35,6,1373.9267603939784,0.25,1.0
80,Lecture,80,83,9904.77682723613,11,588.0915631823809,0.28,46,3552.8086103223363,0.12,3,53.80264540334998,0.35,23,5710.074008328063,0.25,1.0
85,Lecture,80,56,4063.7219562141504,32,1559.581255394891,0.28,8,1545.5719548071722,0.12,13,198.49033932158136,0.35,3,760.0784066905056,0.25,1.0
90,Lecture,80,27,3030.937747067738,17,868.6312286525127,0.28,4,808.4171877059997,0.12,0,12.672532759117788,0.35,6,1341.2167979501078,0.25,1.0
95,Lecture,80,42,13988.050829181753,6,288.4892199777894,0.28,22,12988.130181583803,0.12,3,46.51860716929682,0.35,11,664.9128204508633,0.25,1.0
100,Lecture,80,79,9397.624608864997,26,2738.7761889124495,0.28,10,2342.4604451698206,0.12,0,5.163427673171571,0.35,43,4311.224547109556,0.25,1.0
105,Lecture,80,30,6814.236151293148,7,670.1082047377488,0.28,17,3161.3270176965684,0.12,0,10.287088831866877,0.35,6,2972.513840026964,0.25,1.0
110,Lecture,80,89,10956.07136732032,44,2972.398849449093,0.28,26,6531.220098247073,0.12,14,84.95887524312654,0.35,5,1367.4935443810289,0.25,1.0
115,Lecture,80,39,2535.7935714526884,31,1450.0461554582694,0.28,3,739.5119319578089,0.12,1,17.134722503124458,0.35,4,329.1007615334857,0.25,0.8452645238175627
120,Lecture,80,62,7744.769244911857,22,1390.9170373889995,0.28,23,3023.8102392199057,0.12,5,70.32762533230793,0.35,12,3259.714342970643,0.25,1.0
125,Lecture,80,21,2950.538681363996,0,45.15272957363229,0.28,9,1449.4596926962768,0.12,1,29.660418947452857,0.35,11,1426.2658401466342,0.25,0.9835128937879988
130,Lecture,80,89,12598.27871978483,38,4004.342028940539,0.28,15,3213.1933440954463,0.12,15,110.88990637966823,0.35,21,5269.8534403691765,0.25,1.0
135,Lecture,80,70,9918.390416412996,14,1713.9480185649581,0.28,9,473.54163426222755,0.12,3,17.932194102395666,0.35,44,7712.968569483416,0.25,1.0
140,Lecture,80,46,11431.284444748562,7,206.19183972461354,0.28,8,4206.78068283059,0.12,4,23.11247416186623,0.35,27,6995.199448031492,0.25,1.0
145,Lecture,80,68,4201.560716799018,61,2730.7947534251134,0.28,3,166.61848454258975,0.12,2,14.563805624423754,0.35,2,1289.583673206891,0.25,1.0
150,Lecture,80,33,3955.8072316782145,6,645.5100085817076,0.28,0,99.21094694252122,0.12,5,57.93276022793473,0.35,22,3153.153515926051,0.25,1.0
155,Lecture,80,123,18447.256406987217,65,6753.322868090304,0.28,10,739.8970637793778,0.12,2,49.113147190084476,0.35,46,10904.92332792745,0.25,1.0
160,Lecture,80,31,5661.950391181092,2,289.47663354631027,0.28,20,2960.7527201635085,0.12,4,70.48075344257137,0.35,5,2341.240284028702,0.25,1.0
165,Lecture,80,60,6829.073570826111,25,2110.3107861488133,0.28,24,3045.3280655326794,0.12,3,51.48624164712174,0.35,8,1621.9484774974965,0.25,1.0
170,Lecture,80,40,4722.85511477863,21,2215.247605653301,0.28,10,1088.5034317505433,0.12,5,93.22913731229228,0.35,4,1325.874940062494,0.25,1.0
175,Lecture,80,81,6943.3556651076615,24,1947.6111189424505,0.28,26,2338.7677394614125,0.12,14,276.8471183230146,0.35,17,2380.129688380784,0.25,1.0
180,Lecture,80,101,8653.993730432665,52,2430.1282194073756,0.28,26,2660.909181244807,0.12,5,32.48579162614367,0.35,18,3530.470538154339,0.25,1.0
185,Lecture,80,94,15684.70687107133,40,3677.3364739998724,0.28,22,5856.288769251854,0.12,5,45.70958446747518,0.35,27,6105.3720433521285,0.25,1.0
190,Lecture,80,30,5375.2717834311425,3,304.77496184055946,0.28,12,1501.9740137848269,0.12,3,27.549298431492215,0.35,12,3540.973509374264,0.25,1.0
195,Lecture,80,52,17763.183652769338,6,730.637282044308,0.28,26,12192.194894456406,0.12,3,52.97822194472788,0.35,17,4787.373254323893,0.25,1.0
200,Lecture,80,24,3831.8410782780916,0,73.2875316398772,0.28,5,740.7766641564053,0.12,7,121.10068569962448,0.35,12,2896.6761967821844,0.25,1.0
205,Lecture,80,39,6576.187935079852,17,1358.717719391249,0.28,2,537.6144526118973,0.12,6,83.22415213848649,0.35,14,4596.631610938219,0.25,1.0
210,Lecture,80,50,12479.207270989546,12,592.9473410854051,0.28,6,1538.1329276171907,0.12,6,43.085655080621976,0.35,26,10305.041347206328,0.25,1.0
215,Lecture,80,52,6544.098736321152,16,1500.154967564877,0.28,5,551.1364614370212,0.12,14,98.87019751285027,0.35,17,4393.937109806403,0.25,1.0
220,Lecture,80,66,9981.973194926952,44,3032.0609792213663,0.28,3,218.16628234977435,0.12,1,26.901042494534746,0.35,18,6704.844890861277,0.25,1.0
225,Lecture,80,69,15649.337026529496,0,26.265304377871793,0.28,56,14914.677939261508,0.12,10,180.28161309476857,0.35,3,528.1121697953471,0.25,1.0
230,Lecture,80,17,2181.1559379268,8,761.7591417666443,0.28,4,1005.53134888193,0.12,2,32.404041431066055,0.35,3,381.4614058471597,0.25,0.7270519793089334
235,Lecture,80,35,4094.5095011022945,4,256.04367443719957,0.28,20,2844.4736092327216,0.12,7,141.35175852100912,0.35,4,852.6404589113639,0.25,1.0
240,Lecture,80,70,14066.337353490928,35,1753.112904117398,0.28,9,5193.738474330273,0.12,5,91.02772681401446,0.35,21,7028.458248229243,0.25,1.0
245,Lecture,80,130,35286.19913371367,20,2374.605577395038,0.28,77,15291.619195771676,0.12,2,19.79933150115607,0.35,31,17600.175029045797,0.25,1.0
250,Lecture,80,36,3022.001220144216,0,115.90292484687492,0.28,29,2395.3974866870553,0.12,5,33.91069481378818,0.35,2,476.7901137964971,0.25,1.0
255,Lecture,80,49,10780.920095564281,16,1246.5076557463722,0.28,25,8088.095830138883,0.12,1,20.997114619953273,0.35,7,1425.3194950590723,0.25,1.0
260,Lecture,80,101,13631.63403953815,57,3809.199417887106,0.28,38,3181.4191367951285,0.12,0,15.086620225169346,0.35,6,6625.928864630747,0.25,1.0
265,Lecture,80,69,22284.02531391791,1,149.30658087409634,0.28,52,21803.622007604263,0.12,10,88.93299408719959,0.35,6,242.1637313523506,0.25,1.0
270,Lecture,80,53,5210.480727989405,21,1390.2525724691836,0.28,17,1644.0527109810287,0.12,9,157.10886550483795,0.35,6,2019.066579034355,0.25,1.0
275,Lecture,80,63,5140.342728382834,31,1555.3943618286924,0.28,10,993.3112253748833,0.12,2,25.059546754861216,0.35,20,2566.5775944243974,0.25,1.0
280,Lecture,80,55,3954.2439076565056,33,2637.6915304234612,0.28,11,599.8957295145908,0.12,2,28.0943481459804,0.35,9,688.5622995724733,0.25,1.0
285,Lecture,80,63,7771.659023997436,38,3311.5484313677257,0.28,2,664.9332008112484,0.12,5,56.396155465434525,0.35,18,3738.7812363530265,0.25,1.0
290,Lecture,80,70,6975.416942649601,42,4143.253488944938,0.28,3,645.5333061366781,0.12,1,12.86216702230956,0.35,24,2173.767980545676,0.25,1.0
295,Lecture,80,31,5861.988215751906,10,1260.291432428676,0.28,10,3917.8745376085167,0.12,8,109.02856320540391,0.35,3,574.7936825093088,0.25,1.0
300,Lecture,80,72,3581.7319619210057,18,687.6263321098158,0.28,1,107.63846345253309,0.12,1,33.440460564481626,0.35,52,2753.026705794175,0.25,1.0
305,Lecture,80,118,16485.16754936851,63,6873.077599850833,0.28,16,1649.0060462545264,0.12,2,30.596740270638556,0.35,37,7932.487162992512,0.25,1.0
310,Lecture,80,42,3976.7737768211496,5,325.144796774187,0.28,17,2088.610873329919,0.12,6,96.12077269031869,0.35,14,1466.8973340267253,0.25,1.0
315,Lecture,80,160,14339.180303381227,60,1834.6153224516809,0.28,23,6463.280595003126,0.12,37,262.0531002462419,0.35,40,5779.231285680178,0.25,1.0
320,Lecture,80,32,9613.626166668264,13,1435.3685826072863,0.28,0,62.49169226899484,0.12,2,30.420772583069372,0.35,17,8085.345119208914,0.25,1.0
325,Lecture,80,60,7736.1093053807945,38,4533.720505893947,0.28,9,1513.8763808773342,0.12,2,26.274889722572873,0.35,11,1662.2375288869398,0.25,1.0
330,Lecture,80,44,7252.3673110747495,17,1272.0139796742264,0.28,12,4476.511629824356,0.12,10,131.73824750595628,0.35,5,1372.1034540702115,0.25,1.0
335,Lecture,80,44,9561.669751387617,14,393.4076983445474,0.28,24,7082.180654607569,0.12,0,6.539835981820414,0.35,6,2079.541562453681,0.25,1.0
340,Lecture,80,80,9588.849482829602,12,846.3686546483681,0.28,21,4049.201651635965,0.12,9,179.65704467524733,0.35,38,4513.622131870021,0.25,1.0
345,Lecture,80,36,2708.8231845973487,14,943.1054997658118,0.28,5,643.8416815239523,0.12,2,31.935238792455852,0.35,15,1089.9407645151286,0.25,0.9029410615324496
350,Lecture,80,85,8720.277487379713,33,3697.119904574045,0.28,31,2563.577819091152,0.12,5,36.76255830269831,0.35,16,2422.8172054118186,0.25,1.0
355,Lecture,80,36,7480.840454273042,5,373.438888250843,0.28,11,2152.8804326010845,0.12,6,45.17789821858235,0.35,14,4909.343235202533,0.25,1.0
360,Lecture,80,37,4591.770143568644,20,2098.6112935296837,0.28,2,244.41090125213637,0.12,11,55.988564361683515,0.35,4,2192.7593844251405,0.25,1.0
365,Lecture,80,42,4942.527627567857,21,1869.7223482160502,0.28,9,1843.451816816348,0.12,0,3.028359599008233,0.35,12,1226.32510293645,0.25,1.0
370,Lecture,80,65,11276.871416831897,12,817.0233194030076,0.28,40,8311.586405323893,0.12,3,39.777281725956236,0.35,10,2108.48441037904,0.25,1.0
375,Lecture,80,121,17494.992241869004,87,10225.018595546431,0.28,29,6363.74390622502,0.12,0,3.295063977334921,0.35,5,902.9346761202193,0.25,1.0
380,Lecture,80,64,4710.661474614411,20,1203.680520592835,0.28,7,560.2856401034759,0.12,28,369.757471277721,0.35,9,2576.9378426403796,0.25,1.0
385,Lecture,80,96,22388.761848963044,14,1026.4978005529724,0.28,54,14393.787414943992,0.12,19,262.39106343493495,0.35,9,6706.085570031144,0.25,1.0
390,Lecture,80,86,7663.807703642808,18,1988.1359258395973,0.28,14,2681.539284852293,0.12,19,134.44388406259725,0.35,35,2859.6886088883207,0.25,1.0
395,Lecture,80,18,1343.6564566963416,3,53.51468940570115,0.28,5,595.6665489954983,0.12,2,41.68853705771886,0.35,8,652.7866812374233,0.25,0.44788548556544716
400,Lecture,80,47,2992.4816605206006,27,1286.804328253284,0.28,6,767.2683105812575,0.12,1,11.071315525611928,0.35,13,927.3377061604468,0.25,0.9974938868402002
405,Lecture,80,60,8363.12913283235,10,764.1867821364989,0.28,14,1408.3880362956413,0.12,17,315.7161902033583,0.35,19,5874.838124196852,0.25,1.0
410,Lecture,80,35,4428.230280870886,4,479.70030059255987,0.28,20,2634.465998208044,0.12,7,120.17797123772564,0.35,4,1193.8860108325566,0.25,1.0
415,Lecture,80,44,5249.163012362413,20,1350.0795099624886,0.28,17,2722.2980986885864,0.12,3,41.828663253398744,0.35,4,1134.9567404579386,0.25,1.0
